id,city_name,content,nick_name,score
137,温州,10年漫威真棒,rnx15305770995,5.0
138,中山,钢铁侠真死了？？,白泽01,5.0
139,重庆,后悔了后悔了,快刀青衣？？？,2.5
140,重庆,看首映的把你们的嘴缝好,070,5.0
141,临泉县,大家好我是灭霸，今晚就要死了，我现在慌得一批，有没有好心人给我转账5000块，想买一套海蓝之谜死之前想给我的褶子脸护个肤，让我精致的死去,Vc三店ShaLon  一凡,5.0
142,顺德,很一般  感觉强行把灭霸写弱  特效也很一般  剧情又臭又长  和复联3比起来差远了,簞蒓,0.5
143,哈尔滨,我的青春 走了,你要剁手的想神,5.0
144,常州,各位大佬，请不要剧透,我是头吃货,5.0
145,深圳,买的27号，好怕被剧透,ONo713230590,5.0
146,青岛,还没看，但我知道我一定会给10分的。,LyNyJeR,5.0
147,镇江,十年之约，不负青春,法拉利路口看了,5.0
148,乌鲁木齐,漫威十年，始于钢铁侠，终于钢铁侠。,oMc21367433,5.0
149,唐山,好看，太好看了！,桑塔纳250,5.0
150,桐乡,泪点不是一次  ,A小伙子,5.0
151,济南,感觉绿巨人，钢铁侠，没有攻击性了，这个比较失望，其他都不错！彩蛋好像没有了,小人物,4.0
152,东莞,特技炫酷，以前未处理的疑问基本处理完,泛滥不堪的年华,4.0
153,温州,我拒绝三千遍。,OJBK,5.0
154,淮北,这规范化打工的,Q板,5.0
155,昆山,太好看了，超棒十分。,RyU895327427,5.0
156,洛阳,真的是剧情和人物处理刺激到爆炸三个小时真的没去厕所 ,Ⅹ,5.0
157,沈阳,沈阳k11零点首映原价转票一张,美人兒啊,0.0
158,乌鲁木齐,结尾大战太好看了,elzat14,5.0
159,深圳,超级烂，看过烂的，没看过这么烂的，看了一个小时不知道看的什么东西，垃圾垃圾,kMj592093312,0.5
160,兰州,十年结束了 吹爆美队,Zvq670259261,5.0
161,淄博,结局挺好的，,Ndu910599277,5.0
162,东莞,看了一个小时都不知道在放些啥，看的都睡着了，不要期望太高 ,Angel,0.5
163,邹城,成功的把我看睡着了,卑微小李在线讨饭,4.0
164,上海,好看完美精彩,nicotina,5.0
165,攀枝花,高考可以重来，复联只有一次！,Dinosaur,5.0
166,霸州,不好看超无聊的一次电影,꧁༺夢盈༻꧂,0.5
167,深圳,好看到爆炸。,晚安微笑,5.0
168,聊城,妮妮死了？😭😭😭😭,叫我刘小黑,5.0
169,天津,钢铁侠死了，太伤心了看完以后,孩阿他爹,5.0
170,上海,为什么没有海王  不开心,Carrie 🇲🇳,5.0
171,成都,好看的 推荐看,缘梦鑫,5.0
172,深圳,蛮好看的！！！,就要无名,5.0
173,偃师,能卖二张相同的票白开车过来了，必须差评,大猪蹄子1235,0.5
174,杭州,有Bug  卡魔拉可以复活  穿越到未来不死 为啥寡姐不可以  ,街角,4.0
175,济南,好想好想好想要钢铁侠同款闺女 好可爱,BCK759157839,5.0
176,广州,回忆杀...不再漫威,尚格🔴.十六號🦍,5.0
177,广州,结局真好，可是还有很多惋惜的地方。。。,自由落寞怎么区分,5.0
178,惠阳,可怜的灭霸哈哈哈,是谁独自哭泣,5.0
179,郑州,为了看首映，我明天上课要困死了🌚 🌝 ,＾shmily＾,4.5
180,绍兴,太不好看了，我和前排姑娘都睡了一觉，低俗片在放什么都不知道，骗中国人的钱吗？还是大黄蜂，海王好看，特别的失望！,钻石girl520,0.5
181,广州,为什么说不能和对象去看复仇4,.,1.0
182,银川,居然没有我最想看的神奇博士:P不看了,懒画眉,4.0
183,中山,好看的不得了啊,aBx891855730,5.0
184,昆明,嗯，说不出口,丶排长,5.0
185,江门,才卖200，太便宜了吧，不卖个1万起步对得起土豪腰包？,A 广佛黑名单房贷  租金贷30万起批,0.5
186,深圳,再见了，复仇者！,Bnxd徐凤年,5.0
187,漳州,好看！不剧透。,斯蒂芬·谦,5.0
188,曲靖,震撼大片，期待,XG、小薛,5.0
189,德清,没有想象中饿好,刘朋飞19900903,3.0
190,广安,真的是太棒了,11🍃,5.0
191,安平,伴随着钢铁侠的退出，结束了。,极简世界,4.0
192,宁乡,看不懂........科幻片真头疼,娟哥好可爱,1.0
193,深圳,很好，灭霸终于,a北城南墙,5.0
194,江门,想哭，我的iron man,七姑娘900,5.0
195,东莞,请问是马上开始吗？,A左右沙发-黄学文《南客》,5.0
196,射洪,好看啊，好看那，虽然还没看……,wzq563246139,5.0
197,广州,期待期待！！！,rcb995519521,5.0
198,潍坊,后面超燃，推荐去看相当棒，,回村的诱惑灬,5.0
199,佛山,好看啊 真好看 还要刷第二遍,HkD494792558,5.0
200,西安,其实我还没看 只是感觉,、Lyon,5.0
201,重庆,好想喊个暂停我想尿尿  不想错过一帧阿 ,7,5.0
202,昆山,一塌糊涂 没有逻辑思维,bNQ103636634,0.5
203,衡阳,多给个结尾呀，好看( •̀∀•́ ),稻草人4654,4.5
204,南宁,此生无悔入漫威,望你不忘你,5.0
205,天津,寡姐没了！钢铁侠没了！泪目,林先森🔚,5.0
206,深圳,我一个单身的惹谁了，特地挑个凌晨，角落位置，那些情侣有病啊，中间空出那么多位置不选，非在我周围，看个锤子,nQR835178184,1.0
207,襄阳,明天去看 先给个高分,USX307381450,5.0
208,柳州,整部剧长3个小时，各位亲就从第三个小时看，然后看半个小时就可以走了，其他的都不重要。,星ATT,0.5
209,包头,大家好我是美国队长，我要去打灭霸了，我现在慌的一批，决战之前想喝杯奶茶补充体能，请微信转我200块钱买奶茶。别问我为什么人家都要20我要200，因为钢铁侠他们也要喝,小海阿瓦,5.0
210,广州,"我爱我托尼，
泪目，
真的很难受
",Her·Majesty👑,5.0
211,枣阳,看电影没评论过，差评,哥只是传说,1.5
212,厦门,赞👍！！！！,cqqqqqqqqqj,5.0
213,聊城,大片确实有大片的效果,GSL599231246,5.0
214,桐乡,震撼，我亲爱的妮妮,渐远？,5.0
215,遂宁,超级英雄终篇，打卡,为战而活,4.0
216,中山,最喜欢的角色就这样离开了,沉迷搬砖无法自拔,5.0
217,常州,钢铁侠死了，可惜可惜,影丶烨,5.0
218,顺德,只能说电影院的问题 6号厅屏幕好差 视觉看上去感觉好累,dier18576532108,5.0
