"_id","title","link","pub","rating","comments"
"5c6e8334a620d52b3423cf48","机器学习","https://book.douban.com/subject/1102235/","(美)Tom Mitchell / 曾华军、张银奎、等 / 机械工业出版社 / 2008-3 / 35.00元","8.4","766"
"5c6e8335a620d52b3423d066","Effective Java 中文版","https://book.douban.com/subject/1103015/","（美）Joshua Bloch / 潘爱民 / 机械工业出版社 / 2003-1 / 39.00元","8.9","756"
"5c6e8334a620d52b3423cef4","Python源码剖析","https://book.douban.com/subject/3117898/","陈儒 / 电子工业出版社 / 2008-6 / 69.80元","8.7","724"
"5c6e8334a620d52b3423cf86","图解TCP/IP : 第5版","https://book.douban.com/subject/24737674/","[日]竹下隆史、[日]村山公保、[日]荒井透、[日]苅田幸雄 / 乌尼日其其格 / 人民邮电出版社 / 2013-7-1 / 69.00元","7.8","709"
"5c6e8334a620d52b3423cf59","浪潮之巅（上册）","https://book.douban.com/subject/24739213/","吴军 / 人民邮电出版社 / 2013-5-1 / 35.00元","9.1","700"
"5c6e8335a620d52b3423d056","线性代数及其应用","https://book.douban.com/subject/1425950/","（美）莱（Lay D.C.） / 刘深泉 等 / 机械工业出版社 / 2005-8-1 / 59.00元","9.1","698"
"5c6e8335a620d52b3423cfc7","算法导论（原书第3版）","https://book.douban.com/subject/20432061/","Thomas H.Cormen、Charles E.Leiserson、Ronald L.Rivest、Clifford Stein / 殷建平、徐云、王刚、刘晓光、苏明、邹恒明、王宏志 / 机械工业出版社 / 2012-12 / 128.00元","9.3","693"
"5c6e8335a620d52b3423d05a","R语言实战","https://book.douban.com/subject/20382244/","卡巴科弗 (Robert I.Kabacoff) / 高涛、肖楠、陈钢 / 人民邮电出版社 / 2013-1 / 79.00元","8.8","690"
"5c6e8334a620d52b3423cf6d","Head First HTML与CSS（第2版）","https://book.douban.com/subject/25752357/","Elisabeth Robson、Eric Freeman / 徐阳、丁小峰 / 中国电力出版社 / 2013-9 / 98.00元","9.3","662"
"5c6e8334a620d52b3423cf7a","Redis设计与实现","https://book.douban.com/subject/25900156/","黄健宏 / 机械工业出版社 / 2014-6 / 79.00","8.5","649"
"5c6e8333a620d52b3423ced6","只是为了好玩","https://book.douban.com/subject/25930025/","Linus Torvalds、David Diamond / 陈少芸 / 人民邮电出版社 / 2014-7 / 49.00 元","8.2","626"
"5c6e8335a620d52b3423cfdc","IT不再重要","https://book.douban.com/subject/3215423/","（美）尼古拉斯·卡尔 / 闫鲜宁 / 中信出版社 / 2008-10 / 29.00元","7.5","613"
"5c6e8335a620d52b3423cf9e","区块链技术驱动金融","https://book.douban.com/subject/26860970/","阿尔文德·纳拉亚南、约什·贝努、爱德华·费尔顿、安德鲁·米勒、史蒂文·戈德费德 / 林华、王勇 / 中信出版社,中信出版集团 / 2016-8-25 / CNY 79.00","8.4","605"
"5c6e8334a620d52b3423cf32","Structure and Interpretation of Computer Programs - 2nd Edition (MIT)","https://book.douban.com/subject/1451622/","Harold Abelson、Gerald Jay Sussman / The MIT Press / 1996-7-25 / USD 145.56","9.6","603"
"5c6e8335a620d52b3423d0bd","区块链","https://book.douban.com/subject/22993903/","长铗、韩锋 / 中信出版社 / 2016-7 / CNY 58.00","7.2","600"
"5c6e8333a620d52b3423cedd","JavaScript权威指南(第6版)","https://book.douban.com/subject/10549733/","David Flanagan / 淘宝前端团队 / 机械工业出版社 / 2012-4-1 / 139.00元","8.8","596"
"5c6e8335a620d52b3423cf99","Linux C编程一站式学习","https://book.douban.com/subject/4141733/","宋劲杉 / 电子工业出版社 / 2009-12 / 60.00元","9","596"
"5c6e8334a620d52b3423cf36","剑指Offer","https://book.douban.com/subject/6966465/","何海涛 / 电子工业出版社 / 2012-1 / 45.00元","8.3","588"
"5c6e8334a620d52b3423cf64","终极算法","https://book.douban.com/subject/26931905/","[美] 佩德罗·多明戈斯 / 黄芳萍 / 中信出版集团 / 2017-1-1 / 68.00元","7.2","586"
"5c6e8335a620d52b3423cfbd","离散数学及其应用（原书第5版）","https://book.douban.com/subject/2130743/","[美] Kenneth H. Rosen / 袁崇义 / 机械工业出版社 / 2007-6 / 79.00元","9.1","583"
"5c6e8335a620d52b3423cfce","你不知道的JavaScript（上卷）","https://book.douban.com/subject/26351021/","[美] Kyle Simpson / 赵望野、梁杰 / 人民邮电出版社 / 2015-4 / 49.00元","9.4","571"
"5c6e8335a620d52b3423d008","The Elements of Statistical Learning","https://book.douban.com/subject/3294335/","Trevor Hastie、Robert Tibshirani、Jerome Friedman / Springer / 2009-10-1 / GBP 62.99","9.4","538"
"5c6e8334a620d52b3423cf15","黑客与画家","https://book.douban.com/subject/25724948/","[美] Paul Graham / 阮一峰 / 人民邮电出版社 / 2013-10 / 69.00元","8.9","536"
"5c6e8335a620d52b3423cff2","凤凰项目","https://book.douban.com/subject/26644070/","基恩·金 (Gene Kim)、凯文·贝尔 (Kevin Behr)、乔治·斯帕福德 (George Spafford) / 成小留 / 人民邮电出版社 / 2015-9-1 / CNY 49.00","8.7","536"
"5c6e8335a620d52b3423d03e","Word排版艺术","https://book.douban.com/subject/1193565/","侯捷 / 电子工业出版社 / 2004-10 / 48.00元","8.6","532"
"5c6e8334a620d52b3423cf67","深度学习","https://book.douban.com/subject/27087503/","[美] 伊恩·古德费洛、[加] 约书亚·本吉奥、[加] 亚伦·库维尔 / 赵申剑、黎彧君、符天凡、李凯 / 人民邮电出版社 / 2017-7-1 / 168","8.3","523"
"5c6e8334a620d52b3423cf00","冒号课堂","https://book.douban.com/subject/4031906/","郑晖 / 电子工业出版社 / 2009-10 / 65.00元","8.9","516"
"5c6e8334a620d52b3423cf35","深入理解计算机系统（原书第3版）","https://book.douban.com/subject/26912767/","Randal E.Bryant、David O'Hallaron / 龚奕利、贺莲 / 机械工业出版社 / 2016-11 / 139.00元","9.8","516"
"5c6e8335a620d52b3423cfeb","微服务设计","https://book.douban.com/subject/26772677/","[英] Sam Newman / 崔力强、张　骏 / 人民邮电出版社 / 2016-5 / 69.00元","8.2","514"
"5c6e8335a620d52b3423cffc","锋利的jQuery","https://book.douban.com/subject/10792216/","单东林、张晓菲、魏然 / 人民邮电出版社 / 2012-7-1 / 49.00元","8.4","512"
"5c6e8334a620d52b3423cf89","Effective C++","https://book.douban.com/subject/5387403/","梅耶 (Scott Meyers) / 侯捷 / 电子工业出版社 / 2011-1-1 / 65.00元","9.6","511"
"5c6e8335a620d52b3423d010","谁说大象不能跳舞(珍藏版)","https://book.douban.com/subject/4178327/","郭士纳(Lou Gerstner.Jr.) / 张秀琴、音正权 / 中信出版社 / 2010-1-1 / 38.00元","8.3","507"
"5c6e8335a620d52b3423d045","数据挖掘概念与技术","https://book.douban.com/subject/2038599/","(加)Jiawei Han;Micheline Kamber / 范明、孟小峰 / 机械工业 / 2007-3 / 55.00元","7.7","507"
"5c6e8335a620d52b3423d0a7","别怕，Excel VBA其实很简单","https://book.douban.com/subject/19952184/","Excel之家 (Excel Home) / 人民邮电出版社 / 2012-10-1 / 49.00元","8.2","497"
