,title,link,pub,rating,comments
938,Refactoring,https://book.douban.com/subject/30332135/,Martin Fowler / Addison Wesley / 2018-11-12 / GBP 43.99,8.9,11
939,计算机图形学：原理及实践,https://book.douban.com/subject/30402778/,John F. Hughes、Andries van Dam、Morgan Mcguire、David F. Sklar、James D. Foley、Steven K. Feiner、Kurt Akeley / 彭群生、刘新国、苗兰芳、吴鸿智 / 机械工业出版社 / 2018-11-1 / 99.00元,0.0,10
940,企业数字化基石,https://book.douban.com/subject/34942915/,高山渊、蔡德忠、赵晓雪、刘礼寅、刘水旺、陈义全、徐波 / 电子工业出版社 / 2020-1 / 109,0.0,10
941,A Guide to Kernel Exploitation,https://book.douban.com/subject/5483861/,Enrico Perla B.Sc.  Computer Science  University of Torino  M.Sc.  Computer Science  Trinity College  Dublin、Massimiliano Oldani / Syngress / 2010-9-15 / USD 49.95,0.0,10
942,Cloud Native Transformation,https://book.douban.com/subject/34787343/,Michelle Gienow、Jamie Dobson、Pini Reznik / O'Reilly Media / 2019-12-24 / USD 69.99,0.0,10
943,Spring 5企业级开发实战,https://book.douban.com/subject/34451893/,周冠亚、黄文毅 / 清华大学出版社 / 2019-6,0.0,10
944,视频编码全角度详解,https://book.douban.com/subject/27140867/,K.R.Rao、D. N. Kim、J. J. Hwang / 刘雪冬、刘雪莲、撒继铭 / 机械工业出版社 / 2017-8-1 / 149.00,0.0,10
945,Linux开源存储全栈详解：从Ceph到容器存储,https://book.douban.com/subject/34815557/,英特尔亚太研发有限公司 编著 / 电子工业出版社 / 2019-9 / 99.00元,0.0,10
946,设计模式：可复用面向对象软件的基础,https://book.douban.com/subject/34262305/,[美] Erich Gamma / 李英军、马晓星、蔡敏、刘建中 / 机械工业出版社 / 2019-5 / 79.00,0.0,10
947,Competing in the Age of AI,https://book.douban.com/subject/34794872/,Marco Iansiti、Karim R. Lakhani / Harvard Business Review Press / 2020-1-7,0.0,10
948,Java设计模式及实践,https://book.douban.com/subject/34450854/,[印度] 卡马尔米特·辛格、[荷兰] 艾德里安·伊恩库列斯库、[罗马尼亚] 路西安-保罗·托尔耶 / 张小坤、黄凯、贺涛 / 机械工业出版社 / 2019-6,0.0,10
949,分布式算法,https://book.douban.com/subject/1142226/,(美)Nancy A.Lynch / 机械工业出版社 / 2004-01-01 / 59.00元,0.0,10
950,WindowsSysinternals实战指南,https://book.douban.com/subject/27590761/,Mark Russinovich、Aaron Margosis / 刘晖 / 人民邮电出版社 / 2017-10,0.0,10
951,操作系统之编程观察,https://book.douban.com/subject/30352814/,罗秋明 / 清华大学出版社 / 2018-4-18 / 59.00元,0.0,10
952,实战Java虚拟机：JVM故障诊断与性能优化（第2版）,https://book.douban.com/subject/34441840/,葛一鸣 / 电子工业出版社 / 2019-7 / 89,0.0,10
953,量子编程基础,https://book.douban.com/subject/34801579/,Mingsheng Ying / 张鑫、向宏、傅鹂、向涛 / 机械工业出版社 / 2019-8 / 139,0.0,10
954,数字逻辑与计算机硬件设计基础,https://book.douban.com/subject/1231872/,（美）M.Morris Mano Charles R.Kime / 电子工业出版社 / 2002-7 / 58.00,0.0,10
955,The Self-Taught Programmer,https://book.douban.com/subject/26995962/,Cory Althoff / Independently published / 2017-1-24 / USD 24.26,0.0,10
956,Python程序设计,https://book.douban.com/subject/30498807/,陈春晖、翁恺、季江民 / 浙江大学出版社 / 2019-1 / 38.00,0.0,10
957,Security Engineering,https://book.douban.com/subject/3358723/,Ross J. Anderson / Wiley / 2008-4-14 / USD 80.00,0.0,10
958,Python 3反爬虫原理与绕过实战,https://book.douban.com/subject/34938311/,韦世东 / 人民邮电出版社 / 2020-1-10 / 89元,0.0,10
959,"How to Design Programs, 2nd Edition",https://book.douban.com/subject/30175977/,Matthias Felleisen、Robert Bruce Findler、Matthew Flatt、Shriram Krishnamurthi / MIT Press / 2018-5-4 / USD 57.00,0.0,10
960,强化学习实战,https://book.douban.com/subject/30343959/,笪庆、曾安祥 / 电子工业出版社 / 2018-10 / 89,0.0,10
961,Haskell Programming from first principles,https://book.douban.com/subject/30286799/,Christopher Allen、Julie Moronuki / 2015 / USD 59.00,0.0,10
962,The Haskell School of Music,https://book.douban.com/subject/30286800/,Paul Hudak、Donya Quick / Cambridge University Press / 2018-10-4 / USD 59.99,0.0,10
963,Fundamentals of Software Architecture,https://book.douban.com/subject/34464806/,Neal Ford、Mark Richards / O'Reilly Media / 2020-2-18 / USD 69.99,0.0,10
964,Java核心技术·卷 II（原书第11版）,https://book.douban.com/subject/34935138/,[美] 凯 S.霍斯特曼（Cay S.Horstmann） / 陈昊鹏 / 机械工业出版社 / 2019-12 / 149.00,0.0,10
965,Java实践指南,https://book.douban.com/subject/34826315/,[美]菲利普·约翰逊 / 武传海 / 2019-9-9 / 49.00元,0.0,10
966,Clean Architecture：软件架构与设计匠艺（英文版）,https://book.douban.com/subject/30290504/,【美】Robert C. Martin（罗伯特·C·马丁） / 电子工业出版社 / 2018-7 / 109.00元,0.0,10
967,计算机程序的构造和解释（原书第2版）,https://book.douban.com/subject/34464721/,Harold Abelson、Gerald Jay Sussman、Julie Sussman / 裘宗燕 / 机械工业出版社 / 2019-7 / 79.00,0.0,10
968,程序员面试金典（第6版）,https://book.douban.com/subject/34813624/,Gayle Laakmann McDowell / 刘博楠、赵鹏飞、李琳骁、漆犇 / 人民邮电出版社 / 2019-9-18 / 149.00元,0.0,10
969,Istio: Up and Running,https://book.douban.com/subject/32205536/,Lee Calcote、Zack Butcher / O'Reilly Media / 2019-11-5 / USD 49.99,0.0,10
970,玩转Python网络爬虫,https://book.douban.com/subject/30247662/,黄永祥 / 2018-7-1 / 69,0.0,10
971,PostgreSQL指南：内幕探索,https://book.douban.com/subject/33477094/,【日】铃木启修 / 张文升  冯若航  刘阳明 / 电子工业出版社 / 2019-6 / 79.00元,0.0,10
972,虚拟机设计与实现,https://book.douban.com/subject/34935105/,李晓峰 / 单业 / 人民邮电出版社 / 2020-1 / 129元,0.0,10
973,计算机体系结构,https://book.douban.com/subject/34675951/,[美] 约翰·L. 亨尼斯（John L. Hennessy）、[美] 戴维·A. 帕特森（David A. Patterson ） / 机械工业出版社 / 2019-7-9 / 269.00,0.0,10
974,安全技术大系 数据恢复技术（经典重现版）,https://book.douban.com/subject/25922044/,戴士剑、涂彦晖 / 电子工业出版社 / 2014-7 / 99.00元,0.0,10
975,CSS选择器世界,https://book.douban.com/subject/34846688/,张鑫旭 / 人民邮电出版社 / 2019-10-1 / CNY 59.00,0.0,10
976,审计效率手册：用Excel高效完成审计工作,https://book.douban.com/subject/34886553/,涂佳兵、林铖 / 电子工业出版社 / 2020-1 / 79.90元,0.0,10
977,计算机组成与设计,https://book.douban.com/subject/30443432/,戴维 A.帕特森 (David A.Patterson)、约翰 L.亨尼斯 (John L.Hennessy) / 陈微 / 机械工业出版社 / 2018-10 / 139,0.0,10
978,Computer Lib/Dream Machines,https://book.douban.com/subject/3614693/,Theodore H. Nelson / Microsoft Pr / 1987-10 / USD 18.95,0.0,10
979,玩转Django 2.0,https://book.douban.com/subject/30335320/,黄永祥 / 清华大学出版社 / 2018-10-1 / 69,0.0,10
980,Hands-On Design Patterns with C++,https://book.douban.com/subject/30350354/,Fedor G Pikus / Packt Publishing - ebooks Account / 2019-1-9 / GBP 35.99,0.0,10
981,Scheduling,https://book.douban.com/subject/27089951/,Michael L. Pinedo / Springer / 2016-2-11 / USD 89.99,0.0,10
982,Hackers: Heroes of the Computer Revolution,https://book.douban.com/subject/1427681/,Steven Levy / Anchor Press/Doubleday / 1984年,0.0,10
983,Doing Math with Python,https://book.douban.com/subject/26284932/,Amit Saha / No Starch Press / 2015-3-25 / USD 29.95,0.0,10
984,计算机简史（第三版）,https://book.douban.com/subject/35043034/,[英] 马丁·坎贝尔–凯利、[美] 威廉·阿斯普雷 / 蒋楠 / 人民邮电出版社 / 99,0.0,10
985,计算机工程的物理基础,https://book.douban.com/subject/30180615/,玛里琳·沃尔夫（Marilyn Wolf） / 机械工业出版社 / 2018-3-20 / CNY 59.00,0.0,10
986,计算机体系结构(第2版中文版计算机科学与技术学科研究生系列教材)/计算机科学与技术学,https://book.douban.com/subject/27190711/,胡伟武、汪文祥、吴瑞阳、陈云霁、肖俊华、章隆兵 / 清华大学出版社 / 2017-11-1 / 39,0.0,10
987,Windows PowerShell实战指南（第3版）,https://book.douban.com/subject/27202653/,Don Jones（道·琼斯）、Jeffery Hicks（杰弗瑞·希克斯） / 宋沄剑 / 人民邮电出版社 / 2017-12,0.0,10
988,macOS软件安全与逆向分析,https://book.douban.com/subject/27088100/,丰生强、邢俊杰 / 人民邮电出版社 / 2017-7 / 79.00元,0.0,10
989,C++程序设计基础（第5版）（上）,https://book.douban.com/subject/30222558/,周霭如、林伟健 / 电子工业出版社 / 2016-5 / 59.00元,0.0,10
990,分布式系统应用设计,https://book.douban.com/subject/34844678/,Brendan Burns / 赵军平、王天青 / 中国电力出版社 / 2019-9-1 / 48,0.0,10
991,逻辑·语言·计算,https://book.douban.com/subject/33646224/,马希文 / 商务印书馆 / 2019-5 / 129.00,0.0,10
992,Lambda-Calculus and Combinators,https://book.douban.com/subject/4323391/,J. Roger Hindley、Jonathan P. Seldin / Cambridge University Press / 2008-8-11 / USD 84.99,0.0,10
993,应急响应,https://book.douban.com/subject/34809655/,奇安信安服团队 / 2019-8 / 65,0.0,10
994,Interpretable Machine Learning,https://book.douban.com/subject/34948950/,[德] Christoph Molnar / Lulu Press / 2019-3-24 / USD 47.62,0.0,10
995,图灵经典计算机基础图书：网络是怎样连接的+程序是怎样跑起来的+计算机是怎样跑起来的(套装共3册，,https://book.douban.com/subject/34447891/,,0.0,0
996,The Practitioner's Guide to Graph Data,https://book.douban.com/subject/34868294/,"Matthias Broecheler、Denise Gosnell / O'Reilly Media, Inc. / 2020-5-12 / USD 43.99",0.0,0
997,深度学习导论,https://book.douban.com/subject/35020983/,[美] 尤金·查尔尼克 / 沈磊、郑春萍 / 人民邮电出版社 / 2020-4 / 49.00元,0.0,0
998,Principles of Distributed Database Systems,https://book.douban.com/subject/34678715/,M. Tamer Özsu、Patrick Valduriez / Springer / 2020-1-4 / USD 89.99,0.0,0
999,Power and Performance,https://book.douban.com/subject/32114873/,Jim Kukunas / Morgan Kaufmann / 2015,0.0,0
