,番名,链接,评分,放送日期,id,追番人数,播放量,硬币数,弹幕数
92,炎炎消防队,https://www.bilibili.com/bangumi/play/ss27959,9.1,2019-07-05 16:00:00,27959,1593025,24193360,93225,349023
93,重来吧，魔王大人！,https://www.bilibili.com/bangumi/play/ss28004,8.0,2019-07-03 16:00:00,28004,1579804,38429362,117046,755207
94,我的英雄学院 第二季,https://www.bilibili.com/bangumi/play/ss5969,9.6,2017-03-24 16:00:00,5969,1579510,56660374,186459,2659743
95,碧蓝之海,https://www.bilibili.com/bangumi/play/ss24581,9.8,2018-07-13 16:00:00,24581,1566300,38325057,239061,470349
96,天使降临到我身边,https://www.bilibili.com/bangumi/play/ss26291,9.8,2019-01-07 16:00:00,26291,1563042,29884760,224231,1022190
97,异世界食堂,https://www.bilibili.com/bangumi/play/ss6310,9.2,2017-07-03 16:00:00,6310,1561336,32901092,63262,896906
98,pop子和pipi美的日常,https://www.bilibili.com/bangumi/play/ss21719,8.5,2018-01-06 16:00:00,21719,1557935,39293873,108015,930254
99,小木乃伊到我家,https://www.bilibili.com/bangumi/play/ss21720,9.6,2018-01-11 16:00:00,21720,1547040,28866405,58978,526344
100,落第骑士英雄谭,https://www.bilibili.com/bangumi/play/ss2743,9.3,2015-10-02 16:00:00,2743,1544070,57777224,171904,1776324
101,我的妹妹不可能那么可爱 第一季,https://www.bilibili.com/bangumi/play/ss2660,9.2,2010-10-02 16:00:00,2660,1541873,23505799,87081,1930039
102,日常,https://www.bilibili.com/bangumi/play/ss844,9.8,2011-04-01 16:00:00,844,1541121,3915481,22951,90686
103,秒速五厘米,https://www.bilibili.com/bangumi/play/ss2688,9.5,2007-03-02 16:00:00,2688,1535452,10640374,74040,441721
104,骑士&魔法,https://www.bilibili.com/bangumi/play/ss6304,8.3,2017-07-01 16:00:00,6304,1531690,52455407,75549,917625
105,齐木楠雄的灾难,https://www.bilibili.com/bangumi/play/ss5069,9.7,2016-07-10 16:00:00,5069,1506351,78706897,153760,1133031
106,地狱少女 宵伽,https://www.bilibili.com/bangumi/play/ss6341,9.2,2017-07-14 16:00:00,6341,1493542,22178371,41082,563725
107,学战都市Asterisk,https://www.bilibili.com/bangumi/play/ss2722,8.1,2015-10-02 16:00:00,2722,1480308,67934250,83443,1114586
108,钢之炼金术师 FULLMETAL ALCHEMIST,https://www.bilibili.com/bangumi/play/ss1089,9.9,2009-04-04 16:00:00,1089,1466828,28640084,132689,799863
109,K,https://www.bilibili.com/bangumi/play/ss685,9.3,2012-10-03 16:00:00,685,1463364,15365517,29014,600138
110,异界少女召唤术,https://www.bilibili.com/bangumi/play/ss24627,6.9,2018-07-04 16:00:00,24627,1424848,26536635,72764,457573
111,元气少女缘结神◎,https://www.bilibili.com/bangumi/play/ss1523,9.6,2015-01-04 16:00:00,1523,1407446,10851854,19179,313851
112,我的青春恋爱物语果然有问题。 续,https://www.bilibili.com/bangumi/play/ss1540,9.8,2015-04-01 16:00:00,1540,1404518,62375877,267627,1964650
113,Megalo Box,https://www.bilibili.com/bangumi/play/ss23880,9.8,2018-04-05 16:00:00,23880,1398360,35892645,157432,382446
114,此花亭奇谭,https://www.bilibili.com/bangumi/play/ss6425,9.8,2017-10-04 16:00:00,6425,1395091,17283477,107047,523470
115,Angel Beats!,https://www.bilibili.com/bangumi/play/ss959,9.6,2010-04-01 16:00:00,959,1383345,4805372,43492,205225
116,我女友与青梅竹马的惨烈修罗场,https://www.bilibili.com/bangumi/play/ss2667,9.0,2013-01-04 16:00:00,2667,1378276,26392362,88082,1850933
117,我们无法一起学习,https://www.bilibili.com/bangumi/play/ss26767,9.3,2019-04-06 16:00:00,26767,1364119,33520333,161035,656610
118,属性咖啡厅,https://www.bilibili.com/bangumi/play/ss6432,9.5,2017-10-07 16:00:00,6432,1359385,24864168,96527,832610
119,幻界战线,https://www.bilibili.com/bangumi/play/ss1553,9.5,2015-04-03 16:00:00,1553,1356405,38979391,76278,720257
120,幻界战线 & BEYOND,https://www.bilibili.com/bangumi/play/ss6439,9.8,2017-10-07 16:00:00,6439,1351956,25703243,91805,345795
121,打工吧！魔王大人,https://www.bilibili.com/bangumi/play/ss2932,9.7,2013-04-03 16:00:00,2932,1337877,52286974,88020,762792
