,name,category,note,author,url,downloads,votes,comments
49,HelloTuring,工具,能和你对话玩游戏的机器人🤖️第二版,Antcuts 蚂蚁捷径,https://www.icloud.com/shortcuts/334a42e6de184a29898ef9c804bf080f,8032,68,16
50,百度云盘万能钥匙🔑,工具,可以获取百度网盘查看对方分享的文件所用的钥匙。,于明浩,https://www.icloud.com/shortcuts/fa363f0e24e44fa3aaf4cee427d4c848,6644,65,21
51,捷径全网搜,效率,输入想要搜索的关键字，等待2秒钟，即可看到全网最全的捷径搜索结果了～,Veritas,https://www.icloud.com/shortcuts/1dc1a229f39845cf8ea10c5358eef9ca,11574,65,21
52,权力的游戏,生活,权力的游戏全系资源在线播放，资源实时更新，追剧不紧张，等你安装,清风不识字,https://www.icloud.com/shortcuts/e8017737511441c5bf6dde9b19a950f0,4015,64,40
53,YouTube 后台播放,音乐,轻松在锁屏、后台播放YouTube上的视频。适合喜欢听ASMR，视频的朋友。,jsm,https://www.icloud.com/shortcuts/c04f247c575649408a3fe00a54918f19,8046,63,15
54,App Store换区 iOS 13专用,工具,App Store切换地区 iOS13专用版来了！,꧁IT Man꧂,https://www.icloud.com/shortcuts/5df9b858799c4d9d96156d4664311d47,5937,63,42
55,手机喇叭灰尘清理,工具,利用声波共振原理实现，建议将声音调整至最大,DC,https://www.icloud.com/shortcuts/6a936cfd044444fe8db127aa5529c4fc,22456,63,96
56,IPA安装器（shu版）,工具,无需电脑，iPhone安装IPA。直接运行捷径可获取我下载的一些旧版软件,黑悟空,https://www.icloud.com/shortcuts/22558b18c2fe47a0950dd5118c2ab5ff,15631,63,43
57,PricePaper,生活,嘿嘿，App Store 的限免软件都在这。,Antcuts 蚂蚁捷径,https://www.icloud.com/shortcuts/27a8d08a26a14df99331dd07ffa9bb15,13033,61,4
58,微信聊天背景生成,工具,生成聊天背景，避免消息发错群,Alen,https://www.icloud.com/shortcuts/6882128a528546429d0a808afe685337,7093,59,42
59,IPv6 on iPhone,工具,让你的iPhone获取到IPv6地址,꧁IT Man꧂,https://www.icloud.com/shortcuts/7fb7b4faabcb4943b2981d3f76576302,3327,59,47
60,小兽磁力大全,娱乐,磁力链接搜索利器，包含多平台,爱因斯坦,https://www.icloud.com/shortcuts/9fd8da2e1e964a0b9b738e46ca76fa90,10802,58,9
61,网易云音乐热评,音乐,随机展示云音乐热评，支持播放对应歌曲,61,https://www.icloud.com/shortcuts/2dd90cdd2ea94fe7bf8a07aad8c16ca6,8132,57,28
62,iPhone拍照窍门,娱乐,通过苹果官方提供的拍照窍门制作，从自拍、全景、特写，到慢动作视频，运用到了诸多拍摄技巧,小悟空,https://www.icloud.com/shortcuts/8a14df3f61674a03a1fd45de73e41d62,16939,57,18
63,全自动百度云超速下Alook版ios13,效率,任意浏览器任意第三方web客户端（比如今日头条）一键万能解密自动加速下载,变量,https://www.icloud.com/shortcuts/01cddc8ded674d46893b7883853919c2,4811,56,35
64,从视频提取音频,工具,可从视频中提取你需要的音频文件,小悟空,https://www.icloud.com/shortcuts/f7b0c09ec976421e82de37932c59cb87,11016,56,23
65,万能扫码,工具,支持QQ，微信，微博，支付宝，其它方式扫描二维码,DC,https://www.icloud.com/shortcuts/63453b54c237481b963603d619e0bd98,9704,55,13
66,App Store-切换地区,工具,App Store修改地区,꧁IT Man꧂,https://www.icloud.com/shortcuts/713bb64790a449fa825a57b8166f92f4,6229,55,23
67,Dustcleaner,工具,清理你的喇叭灰尘与雨水,Antcuts 蚂蚁捷径,https://www.icloud.com/shortcuts/2045cc18127046ca9153688dfc74da77,12282,54,16
68,「早安|晚安」自动化,生活,关闭闹钟后，自动播放天气、日历等事件，并播放音乐。开启「早安2.0」新玩法！「设置方法见视频」,小悟空,https://www.icloud.com/shortcuts/52e664ee936a4a97867be5868bc16a29,7722,52,46
69,微信透明昵称/签名/背景图/头像制作,工具,微信透明头像、昵称、特效制作,Nicolas-kings,https://www.icloud.com/shortcuts/6dfef073256242e78f49acfe8384f6cd,10376,52,26
70,三合一收款二维码生成,效率,三合一收款码生成，应该是首发了吧,清风不识字,https://www.icloud.com/shortcuts/78ed7fb98d4c4ea3843cc625f8e96c63,5424,52,19
71,以图搜图的小工具,工具,比较全面方便的搜图捷径,六宫,https://www.icloud.com/shortcuts/cf66041e2e974c17a7146d618fa8dfaa,8368,51,16
72,蚂蚁森林绿色能量收取提醒,工具,通过使用本快捷指令，可以有效阻止别人收取自己的“蚂蚁森林”能量，并且可以“一键打开”蚂蚁森林。,Lynne,https://www.icloud.com/shortcuts/4172eb0a7af14cebb027ed185751d4c9,6458,51,41
73,微信居中签名,社交,"抖音同款微信居中签名制作
ִִ——以下内容仅对你可见——       ִִ
ִ各位不要忘了点赞呢",Nicolas-kings,https://www.icloud.com/shortcuts/6a77f778fade48f1a63db983f98ddfa1,8546,51,42
74,微生活,生活,「蚂蚁森林、庄园」「公交、地铁乘车码」「支付宝、微信扫一扫」「Apple Pay」等便捷方式管理… ,小悟空,https://www.icloud.com/shortcuts/b9451bea354d417cb45a4cd052692d3c,7150,51,31
75,微信信息提示音修改,工具,此捷径免越狱！新增修改教程；敲黑板画重点；修改原理把官方微信信息提示音替换成自己喜欢的提示音就OK！,追逐梦想43版本,https://www.icloud.com/shortcuts/1fefc55be87d47148c5976884fe1fd60,8709,51,37
